254 109 65444 16624 1172 1524
225 144 65432 16380 1160 1560
213 153 65371 16496 1176 1600
230 151 65401 16460 1156 1440
243 116 65425 16468 1248 1516
505 136 65421 16432 1244 1528
213 150 65413 16432 1208 1536
223 138 65423 16460 1156 1492
220 133 65410 16464 1168 1556
217 160 65438 16500 1176 1432
244 141 65422 16412 1120 1660
250 111 65423 16480 1204 1600
228 128 65397 16448 1148 1564
217 125 65425 16460 1180 1484
3 152 65407 16428 1188 1620
244 121 65397 16432 1152 1536
232 124 65426 16396 1140 1516
227 135 65434 16444 1148 1584
210 139 65397 16460 1204 1564
243 98 65410 16476 1128 1588
3 138 65395 16472 1228 1392
233 109 65419 16440 1108 1584
217 104 65412 16380 1140 1520
217 165 65433 16456 1216 1508
217 128 65430 16436 1196 1440
220 175 65423 16464 1188 1464
215 143 65431 16464 1164 1560
3 122 65437 16416 1148 1604
230 107 65424 16448 1188 1524
225 128 65426 16464 1172 1284
221 129 65418 16456 1212 1772
222 117 65437 16420 1176 1548
225 138 65409 16448 1136 1516
248 129 65406 16472 1172 1532
246 148 65405 16356 1220 1524
229 149 65432 16428 1204 1496
225 145 65409 16424 1164 1552
201 116 65406 16504 1152 1532
505 144 65416 16456 1164 1524
241 150 65436 16508 1136 1488
234 100 65425 16480 1220 1444
232 133 65408 16456 1140 1784
218 121 65442 16392 1196 1584
209 153 65389 16456 1196 1540
198 130 65429 16480 1196 1484
254 142 65415 16480 1124 1600
245 149 65424 16412 1180 1592
220 141 65408 16424 1212 1572
203 144 65408 16472 1136 1444
215 167 65438 16464 1176 1428
208 118 65432 16424 1128 1520
187 153 65435 16440 1144 1652
244 123 65419 16432 1160 1616
216 138 65429 16440 1180 1532
211 142 65401 16492 1200 1580
262 138 65436 16468 1236 1568
196 140 65394 16408 1164 1532
211 114 65388 16520 1176 1496
221 128 65426 16488 1196 1576
241 141 65408 16444 1232 1648
217 152 65411 16448 1184 1508
198 111 65412 16420 1204 1604
240 114 65404 16440 1180 1564
252 147 65423 16432 1212 1520
