212,116,65385,16228,392,61756,,,0.809160305,0.885496183,499.1221374,0.990478516,0.023925781,3.769287109,,12.92682927,7.073170732,3986.890244
190,120,65437,16220,480,61804,,,1.450381679,0.916030534,499.519084,0.989990234,0.029296875,3.772216797,,11.58536585,7.317073171,3990.060976
206,124,65443,16176,420,61836,,,1.572519084,0.946564885,499.5648855,0.987304688,0.025634766,3.774169922,,12.56097561,7.56097561,3990.426829
212,127,65416,16188,396,61928,,,1.618320611,0.969465649,499.3587786,0.988037109,0.024169922,3.779785156,,12.92682927,7.743902439,3988.780488
219,153,65386,16280,436,61912,,,1.671755725,1.167938931,499.129771,0.993652344,0.026611328,3.778808594,,13.35365854,9.329268293,3986.95122
216,111,65417,16224,472,61820,,,1.648854962,0.847328244,499.3664122,0.990234375,0.028808594,3.773193359,,13.17073171,6.768292683,3988.841463
231,158,65401,16180,408,61880,,,1.763358779,1.20610687,499.2442748,0.987548828,0.024902344,3.776855469,,14.08536585,9.634146341,3987.865854
216,115,65402,16156,452,61888,,,1.648854962,0.877862595,499.2519084,0.986083984,0.027587891,3.77734375,,13.17073171,7.012195122,3987.926829
249,142,65420,16148,476,61800,,,1.900763359,1.083969466,499.389313,0.985595703,0.029052734,3.771972656,,15.18292683,8.658536585,3989.02439
216,109,65395,16160,496,61852,,,1.648854962,0.832061069,499.1984733,0.986328125,0.030273438,3.775146484,,13.17073171,6.646341463,3987.5
4,177,65408,16200,468,61884,,,0.030534351,1.351145038,499.2977099,0.988769531,0.028564453,3.777099609,,0.243902439,10.79268293,3988.292683
232,128,65465,16196,484,61800,,,1.770992366,0.977099237,499.7328244,0.988525391,0.029541016,3.771972656,,14.14634146,7.804878049,3991.768293
217,141,65428,16236,416,61868,,,1.65648855,1.076335878,499.4503817,0.990966797,0.025390625,3.776123047,,,,
215,137,65432,16252,444,61776,,,1.641221374,1.045801527,499.480916,0.991943359,0.027099609,3.770507813,,,,
